Year,State Name,Population
2013,Alabama,4833722
2013,Alaska,735132
2013,Arizona,6626624
2013,Arkansas,2959373
2013,California,38332521
2013,Colorado,5268367
2013,Connecticut,3596080
2013,Delaware,925749
2013,District of Columbia,646449
2013,Florida,19552860
2013,Georgia,9992167
2013,Hawaii,1404054
2013,Idaho,1612136
2013,Illinois,12882135
2013,Indiana,6570902
2013,Iowa,3090416
2013,Kansas,2893957
2013,Kentucky,4395295
2013,Louisiana,4625470
2013,Maine,1328302
2013,Maryland,5928814
2013,Massachusetts,6692824
2013,Michigan,9895622
2013,Minnesota,5420380
2013,Mississippi,2991207
2013,Missouri,6044171
2013,Montana,1015165
2013,Nebraska,1868516
2013,Nevada,2790136
2013,New Hampshire,1323459
2013,New Jersey,8899339
2013,New Mexico,2085287
2013,New York,19651127
2013,North Carolina,9848060
2013,North Dakota,723393
2013,Ohio,11570808
2013,Oklahoma,3850568
2013,Oregon,3930065
2013,Pennsylvania,12773801
2013,Rhode Island,1051511
2013,South Carolina,4774839
2013,South Dakota,844877
2013,Tennessee,6495978
2013,Texas,26448193
2013,Utah,2900872
2013,Vermont,626630
2013,Virginia,8260405
2013,Washington,6971406
2013,West Virginia,1854304
2013,Wisconsin,5742713
2013,Wyoming,582658
2013,Puerto Rico ,3615086
2014,Alabama,4849377
2014,Alaska,736732
2014,Arizona,6731484
2014,Arkansas,2966369
2014,California,38802500
2014,Colorado,5355866
2014,Connecticut,3596677
2014,Delaware,935614
2014,District of Columbia,658893
2014,Florida,19893297
2014,Georgia,10097343
2014,Hawaii,1419561
2014,Idaho,1634464
2014,Illinois,12880580
2014,Indiana,6596855
2014,Iowa,3107126
2014,Kansas,2904021
2014,Kentucky,4413457
2014,Louisiana,4649676
2014,Maine,1330089
2014,Maryland,5976407
2014,Massachusetts,6745408
2014,Michigan,9909877
2014,Minnesota,5457173
2014,Mississippi,2994079
2014,Missouri,6063589
2014,Montana,1023579
2014,Nebraska,1881503
2014,Nevada,2839099
2014,New Hampshire,1326813
2014,New Jersey,8938175
2014,New Mexico,2085572
2014,New York,19746227
2014,North Carolina,9943964
2014,North Dakota,739482
2014,Ohio,11594163
2014,Oklahoma,3878051
2014,Oregon,3970239
2014,Pennsylvania,12787209
2014,Rhode Island,1055173
2014,South Carolina,4832482
2014,South Dakota,853175
2014,Tennessee,6549352
2014,Texas,26956958
2014,Utah,2942902
2014,Vermont,626562
2014,Virginia,8326289
2014,Washington,7061530
2014,West Virginia,1850326
2014,Wisconsin,5757564
2014,Wyoming,584153
2014,Puerto Rico ,3548397
2015,Alabama,4858979
2015,Alaska,738432
2015,Arizona,6828065
2015,Arkansas,2978204
2015,California,39144818
2015,Colorado,5456574
2015,Connecticut,3590886
2015,Delaware,945934
2015,District of Columbia,672228
2015,Florida,20271272
2015,Georgia,10214860
2015,Hawaii,1431603
2015,Idaho,1654930
2015,Illinois,12859995
2015,Indiana,6619680
2015,Iowa,3123899
2015,Kansas,2911641
2015,Kentucky,4425092
2015,Louisiana,4670724
2015,Maine,1329328
2015,Maryland,6006401
2015,Massachusetts,6794422
2015,Michigan,9922576
2015,Minnesota,5489594
2015,Mississippi,2992333
2015,Missouri,6083672
2015,Montana,1032949
2015,Nebraska,1896190
2015,Nevada,2890845
2015,New Hampshire,1330608
2015,New Jersey,8958013
2015,New Mexico,2085109
2015,New York,19795791
2015,North Carolina,10042802
2015,North Dakota,756927
2015,Ohio,11613423
2015,Oklahoma,3911338
2015,Oregon,4028977
2015,Pennsylvania,12802503
2015,Rhode Island,1056298
2015,South Carolina,4896146
2015,South Dakota,858469
2015,Tennessee,6600299
2015,Texas,27469114
2015,Utah,2995919
2015,Vermont,626042
2015,Virginia,8382993
2015,Washington,7170351
2015,West Virginia,1844128
2015,Wisconsin,5771337
2015,Wyoming,586107
2015,Puerto Rico ,3474182
2016,Alabama,4863300
2016,Alaska,741894
2016,Arizona,6931071
2016,Arkansas,2988248
2016,California,39250017
2016,Colorado,5540545
2016,Connecticut,3576452
2016,Delaware,952065
2016,District of Columbia,681170
2016,Florida,20612439
2016,Georgia,10310371
2016,Hawaii,1428557
2016,Idaho,1683140
2016,Illinois,12801539
2016,Indiana,6633053
2016,Iowa,3134693
2016,Kansas,2907289
2016,Kentucky,4436974
2016,Louisiana,4681666
2016,Maine,1331479
2016,Maryland,6016447
2016,Massachusetts,6811779
2016,Michigan,9928300
2016,Minnesota,5519952
2016,Mississippi,2988726
2016,Missouri,6093000
2016,Montana,1042520
2016,Nebraska,1907116
2016,Nevada,2940058
2016,New Hampshire,1334795
2016,New Jersey,8944469
2016,New Mexico,2081015
2016,New York,19745289
2016,North Carolina,10146788
2016,North Dakota,757952
2016,Ohio,11614373
2016,Oklahoma,3923561
2016,Oregon,4093465
2016,Pennsylvania,12784227
2016,Rhode Island,1056426
2016,South Carolina,4961119
2016,South Dakota,865454
2016,Tennessee,6651194
2016,Texas,27862596
2016,Utah,3051217
2016,Vermont,624594
2016,Virginia,8411808
2016,Washington,7288000
2016,West Virginia,1831102
2016,Wisconsin,5778708
2016,Wyoming,585501
2016,Puerto Rico ,3411307
2017,Alabama,4874747
2017,Alaska,739795
2017,Arizona,7016270
2017,Arkansas,3004279
